experiment,variant,batch,M,N,K,glm-4.7-0211_tflops,glm-4.7-0211_latency_ms,glm-4.7-0211_vs_baseline_pct,glm-5-0212_tflops,glm-5-0212_latency_ms,glm-5-0212_vs_baseline_pct,sonnet-4.5_tflops,sonnet-4.5_latency_ms,sonnet-4.5_vs_baseline_pct,baseline_tflops
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_1,1,5120,5120,0.973,0.054,15.2%,0.690,0.076,10.8%,0.749,0.070,11.7%,6.39
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_2,2,5120,5120,1.137,0.092,17.8%,0.996,0.105,15.6%,1.475,0.071,23.1%,12.17
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_3,3,5120,5120,1.053,0.149,16.5%,1.125,0.140,17.6%,1.914,0.082,15.0%,15.50
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_4,4,5120,5120,1.070,0.196,16.7%,1.153,0.182,18.0%,2.513,0.083,20.8%,17.45
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_5,5,5120,5120,0.992,0.264,15.5%,1.028,0.255,16.1%,2.094,0.125,19.7%,17.15
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_8,8,5120,5120,1.127,0.372,17.6%,1.220,0.344,19.2%,2.805,0.150,29.6%,19.07
w4a32c8_q4_0_fp32_int8,w4a32c8_q4_0_fp32_int8,batch_512,512,5120,5120,2.777,9.668,1.3%,50.560,0.531,23.7%,2.459,10.915,1.1%,213.73
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_1,1,5120,5120,1.369,0.038,21.4%,0.582,0.090,9.1%,1.706,0.031,26.7%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_2,2,5120,5120,1.842,0.057,28.8%,0.597,0.176,9.3%,2.157,0.049,33.8%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_3,3,5120,5120,1.962,0.080,30.7%,0.602,0.261,9.4%,2.232,0.070,34.9%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_4,4,5120,5120,2.079,0.101,32.5%,0.605,0.346,9.5%,2.273,0.092,35.5%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_5,5,5120,5120,2.039,0.129,31.9%,0.607,0.432,9.5%,2.298,0.114,35.9%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_8,8,5120,5120,2.137,0.196,33.4%,0.817,0.514,12.8%,2.339,0.179,36.6%,6.39
w4a32c8_q4_1_fp32_int8,w4a32c8_q4_1_fp32_int8,batch_512,512,5120,5120,2.424,11.073,1.2%,7.146,3.757,3.6%,14.376,1.867,7.2%,199.43
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_1,1,5120,5120,0.362,0.145,7.2%,0.155,0.338,3.1%,0.151,0.348,3.0%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_2,2,5120,5120,0.535,0.196,10.7%,0.309,0.339,6.2%,0.276,0.380,5.5%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_3,3,5120,5120,0.799,0.197,15.9%,0.472,0.333,9.4%,0.445,0.354,8.9%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_4,4,5120,5120,0.760,0.276,15.1%,0.687,0.305,13.7%,0.610,0.344,12.2%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_5,5,5120,5120,0.753,0.348,15.0%,0.858,0.305,17.1%,0.758,0.346,15.1%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_8,8,5120,5120,0.934,0.449,18.6%,0.731,0.574,14.6%,0.639,0.656,12.7%,5.01
w8a32c8_q8_0_fp32_int8,w8a32c8_q8_0_fp32_int8,batch_512,512,5120,5120,1.078,24.911,0.5%,24.093,1.114,11.1%,1.089,24.653,0.5%,216.45
