Batch,Threads,Split-K,batch_1_GFLOPS,batch_2_GFLOPS,batch_3_GFLOPS,batch_4_GFLOPS,batch_5_GFLOPS,batch_8_GFLOPS,batch_512_GFLOPS,Baseline_%
v1,256,1,467.5,934.0,704.5,939.6,873.4,1048.6,1184.7,5.7
v2,256,DP4A,,,,,,,Fail,Fail
v4,256+shared,1,223.4,237.5,243.3,236.6,231.1,252.1,249.1,2.7
v6,1024+warp,1,130.8,260.0,387.7,495.3,301.3,476.5,521.4,1.6
v7,512,1,428.4,442.5,461.2,499.4,311.5,493.1,551.7,5.2
v8,64,1,859.0,545.4,454.2,516.6,549.4,566.5,521.6,10.4
v9,32,1,425.2,448.8,469.9,482.8,489.2,538.5,527.4,5.2
v10,adaptive,1,857.8,917.0,913.4,498.6,486.1,564.7,524.4,10.4
v11,64,vectorized,,,,,,,Fail,Fail
v12,adaptive,vectorized,557.4,528.7,529.8,607.5,583.4,587.4,488.6,6.8
v13,128,1,426.0,453.7,466.4,509.0,498.7,553.2,530.6,5.2
v14,64,4,993.5,1059.0,1050.7,1064.9,1044.9,1189.0,1058.8,12.1
v15,64,8,1152.3,1041.6,1092.5,1000.8,1060.8,1079.0,1169.1,14.0
v16,adaptive,16,1010.6,1044.9,1037.1,1061.5,1162.3,1182.2,1181.7,12.3
